kode_depkes,kode_sp2tp,lingkup,nama_puskesmas,kondisi_bangunan_puskesmas,jenis_puskesmas,wilayah,nama_kecamatan,alamat_puskesmas,no_telp,no_fax,email,ket
P3101020201,31700101,Puskesmas Kecamatan,KEC. KEP. SERIBU UTARA/RB,Baik,Non Perawatan,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,Pulau Kelapa,,,,
P3101020202,31700103,Puskesmas Kelurahan,KEL PULAU PANGGANG,Baik,Non Perawatan,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,Kec. Kep. Seribu Utara,,,,
P3101020204,31700104,Puskesmas Kelurahan,KEL. PULAU HARAPAN,Baik,Non Perawatan,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,Kel. Pulau Harapan ,,,,
P3101010201,31700201,Puskesmas Kecamatan,KEC. KEP. SERIBU SELATAN,Baik,Non Perawatan,Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,Pulau Tidung,,,,
,,,KEL. PULAU LANCANG,,,Kepulauan Seribu,,,,,,
P3101010203,31700203,Puskesmas Kelurahan,KEL. PULAU UNTUNG JAWA,Baik,Non Perawatan,Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,Kel Pulau Untung Jawa,021-70617381,,,
P3101010204,31700104,Puskesmas Kelurahan,KEL. PULAU PARI (PUSTU),Baik,Non Perawatan,Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,Kel. Pulau Pari,,021-70978166,,
P3171010201,31711001,Puskesmas Kecamatan,KEC. JAGAKARSA,Baik,Perawatan,Jakarta Selatan,JAGAKARSA,Jl. Moh Kahfi RT 009,021-7864707,021-7864707,,
P3171010202,31711002,Puskesmas Kelurahan,KEL. JAGAKARSA I,Rusak Ringan,Non Perawatan,Jakarta Selatan,JAGAKARSA,Jl. Jagakarsa RT 004,021-7873926,021-7873926,,
P3171010203,31711003,Puskesmas Kelurahan,KEL. JAGAKARSA  II,Baik,Non Perawatan,Jakarta Selatan,JAGAKARSA,Jl. Jati Padang Raya. RT 012,021-7874051,,,
P3171010204,31711004,Puskesmas Kelurahan,KEL. LENTENG AGUNG  I,Rusak Berat,Non Perawatan,Jakarta Selatan,JAGAKARSA,Jl. Lontar RT 009,021-7875322,,,
P3171010205,31711005,Puskesmas Kelurahan,KEL. LENTENG AGUNG  II,Rusak Berat,Non Perawatan,Jakarta Selatan,JAGAKARSA,Jl. Gang Subur RT 010,021-7875307,021-7875307,,
P3171010206,31711006,Puskesmas Kelurahan,KEL. SRENGSENG SAWAH,Rusak Berat,Non Perawatan,Jakarta Selatan,JAGAKARSA,Jl. Baru,021-7874051,,,
P3171010207,31711007,Puskesmas Kelurahan,KEL. CIGANJUR,Baik,Non Perawatan,Jakarta Selatan,JAGAKARSA,Jl. Moh. Kahfi RT 009 (STATUS KONTRAK BANGUNAN),0-0,0-0,,
P3171020201,31710201,Puskesmas Kecamatan,KEC. PASAR MINGGU,Baik,Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. Raya Jati Padang,"021-7811265, 7814716","021-7811265, 7814716",,
P3171020202,31710202,Puskesmas Kelurahan,KEL. PEJATEN TIMUR,Baik,Non Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. Swadaya I/28 RT 006/11,021-78012870,021-78012870,,
P3171020203,31710203,Puskesmas Kelurahan,KEL. PEJATEN BARAT I,Baik,Non Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. Pejaten Raya No. 3,021-7949636,021-7949636,pejatenbaratsatu@yahoo.co.id,
P3171020204,31710204,Puskesmas Kelurahan,KEL. PEJATEN BARAT II,Rusak Ringan,Non Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. Ayub Gg F RT 002/02,021-7949982,,,
P3171020205,31710205,Puskesmas Kelurahan,KEL. PEJATEN BARAT III,Baik,Non Perawatan,Jakarta Selatan,PASAR MINGGU,Jl. Siaga Raya BAPPENAS,021-7943777,021-7943777,,
